日期,名稱,開盤價,最高價,最低價,收盤價,成交量,前一天收盤價,Price_Change,Percentage_Change,前一天成交量,Volume_Change,Volume_Percentage_Change
2024/07/29,上證指數,2889.472900390625,2898.950927734375,2878.5830078125,2891.844970703125,256900.0,,,,,,
2024/07/30,上證指數,2885.215087890625,2885.215087890625,2865.14892578125,2879.300048828125,262500.0,2891.844970703125,-12.544921875,-0.43,256900.0,5600.0,2.18
2024/07/31,上證指數,2877.541015625,2940.593017578125,2876.301025390625,2938.7490234375,412700.0,2879.300048828125,59.448974609375,2.06,262500.0,150200.0,57.22
2024/08/01,上證指數,2940.1201171875,2947.876953125,2928.825927734375,2932.386962890625,346600.0,2938.7490234375,-6.362060546875,-0.22,412700.0,-66100.0,-16.02
2024/08/02,上證指數,2913.02001953125,2931.259033203125,2902.719970703125,2905.337890625,312200.0,2932.386962890625,-27.049072265625,-0.92,346600.0,-34400.0,-9.92
2024/08/05,上證指數,2889.363037109375,2919.02490234375,2860.697998046875,2860.697998046875,355500.0,2905.337890625,-44.639892578125,-1.54,312200.0,43300.0,13.87
2024/08/06,上證指數,2878.65087890625,2888.200927734375,2845.3349609375,2867.283935546875,297300.0,2860.697998046875,6.5859375,0.23,355500.0,-58200.0,-16.37
2024/08/07,上證指數,2864.010009765625,2886.94189453125,2857.72509765625,2869.833984375,263100.0,2867.283935546875,2.550048828125,0.09,297300.0,-34200.0,-11.5
2024/08/08,上證指數,2864.758056640625,2886.39892578125,2850.875,2869.90087890625,289100.0,2869.833984375,0.06689453125,0.0,263100.0,26000.0,9.88
2024/08/09,上證指數,2879.873046875,2887.84912109375,2862.194091796875,2862.194091796875,284300.0,2869.90087890625,-7.706787109375,-0.27,289100.0,-4800.0,-1.66
2024/08/12,上證指數,2858.89501953125,2869.26904296875,2851.294921875,2858.205078125,244200.0,2862.194091796875,-3.989013671875,-0.14,284300.0,-40100.0,-14.1
2024/08/13,上證指數,2860.409912109375,2867.946044921875,2845.31005859375,2867.946044921875,231700.0,2858.205078125,9.740966796875,0.34,244200.0,-12500.0,-5.12
2024/08/14,上證指數,2866.242919921875,2866.242919921875,2850.40087890625,2850.654052734375,217900.0,2867.946044921875,-17.2919921875,-0.6,231700.0,-13800.0,-5.96
2024/08/15,上證指數,2844.200927734375,2889.0869140625,2839.387939453125,2877.35791015625,271900.0,2850.654052734375,26.703857421875,0.94,217900.0,54000.0,24.78
2024/08/16,上證指數,2877.93994140625,2888.675048828125,2873.06005859375,2879.429931640625,263700.0,2877.35791015625,2.072021484375,0.07,271900.0,-8200.0,-3.02
2024/08/19,上證指數,2877.9541015625,2905.155029296875,2877.77099609375,2893.674072265625,261700.0,2879.429931640625,14.244140625,0.49,263700.0,-2000.0,-0.76
2024/08/20,上證指數,2895.551025390625,2896.51904296875,2855.3291015625,2866.660888671875,263700.0,2893.674072265625,-27.01318359375,-0.93,261700.0,2000.0,0.76
2024/08/21,上證指數,2858.93896484375,2863.89111328125,2848.15087890625,2856.583984375,229200.0,2866.660888671875,-10.076904296875,-0.35,263700.0,-34500.0,-13.08
2024/08/22,上證指數,2856.199951171875,2861.60693359375,2845.501953125,2848.77197265625,245400.0,2856.583984375,-7.81201171875,-0.27,229200.0,16200.0,7.07
2024/08/23,上證指數,2844.77001953125,2860.73291015625,2839.3369140625,2854.367919921875,226700.0,2848.77197265625,5.595947265625,0.2,245400.0,-18700.0,-7.62
2024/08/26,上證指數,2855.47412109375,2860.655029296875,2844.383056640625,2855.52001953125,227400.0,2854.367919921875,1.152099609375,0.04,226700.0,700.0,0.31
2024/08/27,上證指數,2850.876953125,2853.780029296875,2843.157958984375,2848.73095703125,230700.0,2855.52001953125,-6.7890625,-0.24,227400.0,3300.0,1.45
2024/08/28,上證指數,2844.326904296875,2852.56201171875,2830.9619140625,2837.428955078125,228700.0,2848.73095703125,-11.302001953125,-0.4,230700.0,-2000.0,-0.87
2024/08/29,上證指數,2829.450927734375,2831.430908203125,2815.383056640625,2823.10595703125,277500.0,2837.428955078125,-14.322998046875,-0.5,228700.0,48800.0,21.34
2024/08/30,上證指數,2819.64990234375,2867.965087890625,2817.013916015625,2842.214111328125,397500.0,2823.10595703125,19.108154296875,0.68,277500.0,120000.0,43.24
2024/09/02,上證指數,2832.35009765625,2839.278076171875,2810.3740234375,2811.034912109375,340700.0,2842.214111328125,-31.17919921875,-1.1,397500.0,-56800.0,-14.29
2024/09/03,上證指數,2809.173095703125,2814.903076171875,2794.910888671875,2802.97900390625,275700.0,2811.034912109375,-8.055908203125,-0.29,340700.0,-65000.0,-19.08
2024/09/04,上證指數,2786.5048828125,2800.60693359375,2781.93505859375,2784.278076171875,257500.0,2802.97900390625,-18.700927734375,-0.67,275700.0,-18200.0,-6.6
2024/09/05,上證指數,2785.263916015625,2796.01904296875,2777.470947265625,2788.31396484375,242000.0,2784.278076171875,4.035888671875,0.14,257500.0,-15500.0,-6.02
2024/09/06,上證指數,2791.764892578125,2804.093017578125,2765.638916015625,2765.806884765625,253600.0,2788.31396484375,-22.507080078125,-0.81,242000.0,11600.0,4.79
2024/09/09,上證指數,2754.72412109375,2756.555908203125,2726.967041015625,2736.488037109375,261500.0,2765.806884765625,-29.31884765625,-1.06,253600.0,7900.0,3.12
2024/09/10,上證指數,2737.881103515625,2750.117919921875,2718.626953125,2744.19189453125,262200.0,2736.488037109375,7.703857421875,0.28,261500.0,700.0,0.27
2024/09/11,上證指數,2732.73095703125,2732.73095703125,2710.62109375,2721.794921875,242300.0,2744.19189453125,-22.39697265625,-0.82,262200.0,-19900.0,-7.59
2024/09/12,上證指數,2722.137939453125,2734.68310546875,2716.554931640625,2717.123046875,240100.0,2721.794921875,-4.671875,-0.17,242300.0,-2200.0,-0.91
2024/09/13,上證指數,2718.986083984375,2728.780029296875,2703.368896484375,2704.090087890625,251300.0,2717.123046875,-13.032958984375,-0.48,240100.0,11200.0,4.66
2024/09/18,上證指數,2705.344970703125,2724.114013671875,2689.695068359375,2717.281005859375,247800.0,2704.090087890625,13.19091796875,0.49,251300.0,-3500.0,-1.39
2024/09/19,上證指數,2723.205078125,2747.739990234375,2697.77587890625,2736.02197265625,315200.0,2717.281005859375,18.740966796875,0.69,247800.0,67400.0,27.2
2024/09/20,上證指數,2734.22802734375,2741.155029296875,2717.945068359375,2736.81396484375,285600.0,2736.02197265625,0.7919921875,0.03,315200.0,-29600.0,-9.39
2024/09/23,上證指數,2735.389892578125,2760.47998046875,2731.35693359375,2748.91796875,257600.0,2736.81396484375,12.10400390625,0.44,285600.0,-28000.0,-9.8
2024/09/24,上證指數,2770.75390625,2863.152099609375,2761.3720703125,2863.1259765625,477600.0,2748.91796875,114.2080078125,4.15,257600.0,220000.0,85.4
2024/09/25,上證指數,2901.4189453125,2952.450927734375,2889.048095703125,2896.305908203125,568300.0,2863.1259765625,33.179931640625,1.16,477600.0,90700.0,18.99
2024/09/26,上證指數,2893.7451171875,3000.952880859375,2889.013916015625,3000.952880859375,576300.0,2896.305908203125,104.64697265625,3.61,568300.0,8000.0,1.41
2024/09/27,上證指數,3049.10302734375,3087.529052734375,3017.445068359375,3087.529052734375,492300.0,3000.952880859375,86.576171875,2.88,576300.0,-84000.0,-14.58
2024/09/30,上證指數,3194.721923828125,3358.587890625,3153.697021484375,3336.4970703125,1102300.0,3087.529052734375,248.968017578125,8.06,492300.0,610000.0,123.91
2024/10/08,上證指數,3674.405029296875,3674.405029296875,3372.18701171875,3489.77490234375,1313500.0,3336.4970703125,153.27783203125,4.59,1102300.0,211200.0,19.16
2024/10/09,上證指數,3427.219970703125,3437.156982421875,3249.158935546875,3258.85791015625,992800.0,3489.77490234375,-230.9169921875,-6.62,1313500.0,-320700.0,-24.42
2024/10/10,上證指數,3277.69189453125,3379.804931640625,3228.125,3301.926025390625,834500.0,3258.85791015625,43.068115234375,1.32,992800.0,-158300.0,-15.94
2024/10/11,上證指數,3287.873046875,3297.751953125,3187.988037109375,3217.738037109375,606000.0,3301.926025390625,-84.18798828125,-2.55,834500.0,-228500.0,-27.38
2024/10/14,上證指數,3241.427978515625,3294.6201171875,3203.90087890625,3284.322998046875,631500.0,3217.738037109375,66.5849609375,2.07,606000.0,25500.0,4.21
2024/10/15,上證指數,3265.74609375,3285.215087890625,3201.2919921875,3201.2919921875,566100.0,3284.322998046875,-83.031005859375,-2.53,631500.0,-65400.0,-10.36
2024/10/16,上證指數,3169.1689453125,3236.847900390625,3167.736083984375,3202.947998046875,515800.0,3201.2919921875,1.656005859375,0.05,566100.0,-50300.0,-8.89
2024/10/17,上證指數,3220.73291015625,3241.568115234375,3169.384033203125,3169.384033203125,528600.0,3202.947998046875,-33.56396484375,-1.05,515800.0,12800.0,2.48
2024/10/18,上證指數,3165.97509765625,3313.97802734375,3152.821044921875,3261.56298828125,693000.0,3169.384033203125,92.178955078125,2.91,528600.0,164400.0,31.1
2024/10/21,上證指數,3276.06005859375,3300.6640625,3239.096923828125,3268.110107421875,668200.0,3261.56298828125,6.547119140625,0.2,693000.0,-24800.0,-3.58
2024/10/22,上證指數,3263.822021484375,3294.9609375,3255.137939453125,3285.866943359375,574900.0,3268.110107421875,17.7568359375,0.54,668200.0,-93300.0,-13.96
2024/10/23,上證指數,3285.2470703125,3331.08203125,3277.06591796875,3302.802978515625,650400.0,3285.866943359375,16.93603515625,0.52,574900.0,75500.0,13.13
2024/10/24,上證指數,3287.823974609375,3292.945068359375,3266.882080078125,3280.262939453125,519800.0,3302.802978515625,-22.5400390625,-0.68,650400.0,-130600.0,-20.08
2024/10/25,上證指數,3280.761962890625,3319.35693359375,3276.1298828125,3299.699951171875,595700.0,3280.262939453125,19.43701171875,0.59,519800.0,75900.0,14.6
2024/10/28,上證指數,3300.462890625,3322.197998046875,3279.715087890625,3322.197998046875,672400.0,3299.699951171875,22.498046875,0.68,595700.0,76700.0,12.88
2024/10/29,上證指數,3328.089111328125,3340.4580078125,3284.2109375,3286.406982421875,725300.0,3322.197998046875,-35.791015625,-1.08,672400.0,52900.0,7.87
2024/10/30,上證指數,3273.64208984375,3291.679931640625,3244.805908203125,3266.238037109375,669000.0,3286.406982421875,-20.1689453125,-0.61,725300.0,-56300.0,-7.76
2024/10/31,上證指數,3267.97509765625,3295.741943359375,3252.389892578125,3279.823974609375,784600.0,3266.238037109375,13.5859375,0.42,669000.0,115600.0,17.28
2024/11/01,上證指數,3275.576904296875,3305.318115234375,3258.735107421875,3272.013916015625,852100.0,3279.823974609375,-7.81005859375,-0.24,784600.0,67500.0,8.6
