日期,名稱,開盤價,最高價,最低價,收盤價,前一天收盤價,Price_Change,Percentage_Change
2024/07/29,USD_TWD,32.79800033569336,32.895999908447266,32.74879837036133,32.79800033569336,,,
2024/07/30,USD_TWD,32.849300384521484,32.90299987792969,32.811500549316406,32.849300384521484,32.79800033569336,0.051300048828125,0.16
2024/07/31,USD_TWD,32.76150131225586,32.922000885009766,32.64179992675781,32.76150131225586,32.849300384521484,-0.087799072265625,-0.27
2024/08/01,USD_TWD,32.57229995727539,32.819000244140625,32.53919982910156,32.57229995727539,32.76150131225586,-0.18920135498046875,-0.58
2024/08/02,USD_TWD,32.71649932861328,32.861000061035156,32.604000091552734,32.71649932861328,32.57229995727539,0.14419937133789062,0.44
2024/08/05,USD_TWD,32.58890151977539,32.76100158691406,32.38800048828125,32.58890151977539,32.71649932861328,-0.12759780883789062,-0.39
2024/08/06,USD_TWD,32.67900085449219,32.79899978637695,32.50699996948242,32.67900085449219,32.58890151977539,0.09009933471679688,0.28
2024/08/07,USD_TWD,32.77799987792969,32.778099060058594,32.513999938964844,32.77799987792969,32.67900085449219,0.0989990234375,0.3
2024/08/08,USD_TWD,32.650001525878906,32.67300033569336,32.355499267578125,32.650001525878906,32.77799987792969,-0.12799835205078125,-0.39
2024/08/09,USD_TWD,32.41019821166992,32.479000091552734,32.16400146484375,32.41019821166992,32.650001525878906,-0.23980331420898438,-0.73
2024/08/12,USD_TWD,32.435001373291016,32.50400161743164,32.345001220703125,32.435001373291016,32.41019821166992,0.02480316162109375,0.08
2024/08/13,USD_TWD,32.23899841308594,32.483001708984375,32.19200134277344,32.23899841308594,32.435001373291016,-0.19600296020507812,-0.6
2024/08/14,USD_TWD,32.30500030517578,32.3390007019043,32.04899978637695,32.30500030517578,32.23899841308594,0.06600189208984375,0.2
2024/08/15,USD_TWD,31.9950008392334,32.4119987487793,31.9950008392334,31.9950008392334,32.30500030517578,-0.3099994659423828,-0.96
2024/08/16,USD_TWD,32.442501068115234,32.45800018310547,32.21900177001953,32.442501068115234,31.9950008392334,0.44750022888183594,1.4
2024/08/19,USD_TWD,32.135501861572266,32.172698974609375,31.71500015258789,32.135501861572266,32.442501068115234,-0.30699920654296875,-0.95
2024/08/20,USD_TWD,31.910499572753906,31.96500015258789,31.67799949645996,31.910499572753906,32.135501861572266,-0.22500228881835938,-0.7
2024/08/21,USD_TWD,31.895000457763672,31.988000869750977,31.632999420166016,31.895000457763672,31.910499572753906,-0.015499114990234375,-0.05
2024/08/22,USD_TWD,31.69499969482422,32.040000915527344,31.69499969482422,31.69499969482422,31.895000457763672,-0.20000076293945312,-0.63
2024/08/23,USD_TWD,32.03499984741211,32.0349006652832,31.736000061035156,32.03499984741211,31.69499969482422,0.3400001525878906,1.07
2024/08/26,USD_TWD,31.754499435424805,31.860000610351562,31.695999145507812,31.754499435424805,32.03499984741211,-0.2805004119873047,-0.88
2024/08/27,USD_TWD,31.80900001525879,31.985000610351562,31.610000610351562,31.80900001525879,31.754499435424805,0.054500579833984375,0.17
2024/08/28,USD_TWD,31.69499969482422,31.993000030517578,31.872800827026367,31.69499969482422,31.80900001525879,-0.11400032043457031,-0.36
2024/08/29,USD_TWD,31.982999801635742,31.98900032043457,31.774999618530273,31.982999801635742,31.69499969482422,0.28800010681152344,0.91
2024/08/30,USD_TWD,31.857999801635742,32.00400161743164,31.679000854492188,31.857999801635742,31.982999801635742,-0.125,-0.39
2024/09/02,USD_TWD,31.996000289916992,32.07400131225586,31.9689998626709,31.996000289916992,31.857999801635742,0.13800048828125,0.43
2024/09/03,USD_TWD,31.930999755859375,32.13999938964844,31.930999755859375,31.930999755859375,31.996000289916992,-0.06500053405761719,-0.2
2024/09/04,USD_TWD,31.981000900268555,32.18199920654297,31.981000900268555,31.981000900268555,31.930999755859375,0.05000114440917969,0.16
2024/09/05,USD_TWD,31.954999923706055,32.132999420166016,31.954999923706055,31.954999923706055,31.981000900268555,-0.0260009765625,-0.08
2024/09/06,USD_TWD,32.00699996948242,32.08000183105469,31.82699966430664,32.00699996948242,31.954999923706055,0.05200004577636719,0.16
2024/09/09,USD_TWD,32.025901794433594,32.141998291015625,31.99679946899414,32.025901794433594,32.00699996948242,0.018901824951171875,0.06
2024/09/10,USD_TWD,32.108001708984375,32.20500183105469,31.98699951171875,32.108001708984375,32.025901794433594,0.08209991455078125,0.26
2024/09/11,USD_TWD,32.15800094604492,32.209999084472656,31.988000869750977,32.15800094604492,32.108001708984375,0.049999237060546875,0.16
2024/09/12,USD_TWD,32.106998443603516,32.16999816894531,31.950000762939453,32.106998443603516,32.15800094604492,-0.05100250244140625,-0.16
2024/09/13,USD_TWD,31.92300033569336,32.11249923706055,31.825000762939453,31.92300033569336,32.106998443603516,-0.18399810791015625,-0.57
2024/09/16,USD_TWD,31.937999725341797,31.937999725341797,31.66200065612793,31.937999725341797,31.92300033569336,0.0149993896484375,0.05
2024/09/17,USD_TWD,31.863000869750977,31.9689998626709,31.643999099731445,31.863000869750977,31.937999725341797,-0.07499885559082031,-0.23
2024/09/18,USD_TWD,31.93950080871582,32.02199935913086,31.73900032043457,31.93950080871582,31.863000869750977,0.07649993896484375,0.24
2024/09/19,USD_TWD,31.77899932861328,32.07699966430664,31.77899932861328,31.77899932861328,31.93950080871582,-0.16050148010253906,-0.5
2024/09/20,USD_TWD,31.76799964904785,32.01900100708008,31.76799964904785,31.76799964904785,31.77899932861328,-0.010999679565429688,-0.03
2024/09/23,USD_TWD,31.98900032043457,32.13800048828125,31.957300186157227,31.98900032043457,31.76799964904785,0.22100067138671875,0.7
2024/09/24,USD_TWD,31.933000564575195,32.08100128173828,31.859500885009766,31.933000564575195,31.98900032043457,-0.055999755859375,-0.18
2024/09/25,USD_TWD,31.700000762939453,31.948999404907227,31.700000762939453,31.700000762939453,31.933000564575195,-0.2329998016357422,-0.73
2024/09/26,USD_TWD,31.863000869750977,31.98699951171875,31.66200065612793,31.863000869750977,31.700000762939453,0.16300010681152344,0.51
2024/09/27,USD_TWD,31.459999084472656,31.766000747680664,31.422000885009766,31.459999084472656,31.863000869750977,-0.4030017852783203,-1.26
2024/09/30,USD_TWD,31.575000762939453,31.763999938964844,31.50200080871582,31.575000762939453,31.459999084472656,0.11500167846679688,0.37
2024/10/01,USD_TWD,31.579999923706055,31.910999298095703,31.579999923706055,31.579999923706055,31.575000762939453,0.0049991607666015625,0.02
2024/10/02,USD_TWD,31.761999130249023,31.937000274658203,31.761999130249023,31.761999130249023,31.579999923706055,0.18199920654296875,0.58
2024/10/03,USD_TWD,31.812000274658203,32.106998443603516,31.812000274658203,31.812000274658203,31.761999130249023,0.05000114440917969,0.16
